National Code,AQF Level,Title,TGA Status,State Code,Nominal Hours,Type,QA,StateCode,NatCode,NatTitle,NatCodeAndTitle
CUA60213,Advanced Diploma of,Live Production and Management Services,Current,J708,1080,Qualification,J708,J708,CUA60213,Live Production and Management Services,CUA60213 Advanced Diploma of Live Production and Management Services
CUA60213,Advanced Diploma of,Live Production and Management Services,Current,J708,1080,Qualification,J708,J708,CUA60213,Live Production and Management Services,CUA60213 Advanced Diploma of Live Production and Management Services
CUA60315,Advanced Diploma of,Graphic Design,Current,AZL7,760,Qualification,AZL7,AZL7,CUA60315,Graphic Design,CUA60315 Advanced Diploma of Graphic Design
CUA60315,Advanced Diploma of,Graphic Design,Current,AZL7,760,Qualification,AZL7,AZL7,CUA60315,Graphic Design,CUA60315 Advanced Diploma of Graphic Design
CUA60415,Advanced Diploma of,Creative Product Development,Current,AZL9,770,Qualification,AZL9,AZL9,CUA60415,Creative Product Development,CUA60415 Advanced Diploma of Creative Product Development
CUA60415,Advanced Diploma of,Creative Product Development,Current,AZL9,770,Qualification,AZL9,AZL9,CUA60415,Creative Product Development,CUA60415 Advanced Diploma of Creative Product Development
CUA60515,Advanced Diploma of,Music Industry,Current,AZM7,752,Qualification,AZM7,AZM7,CUA60515,Music Industry,CUA60515 Advanced Diploma of Music Industry
CUA60515,Advanced Diploma of,Music Industry,Current,AZM7,752,Qualification,AZM7,AZM7,CUA60515,Music Industry,CUA60515 Advanced Diploma of Music Industry
CUA60615,Advanced Diploma of,Screen and Media,Current,AZO1,785,Qualification,AZO1,AZO1,CUA60615,Screen and Media,CUA60615 Advanced Diploma of Screen and Media
CUA60615,Advanced Diploma of,Screen and Media,Current,AZO1,785,Qualification,AZO1,AZO1,CUA60615,Screen and Media,CUA60615 Advanced Diploma of Screen and Media
CUA60715,Advanced Diploma of,Visual Arts,Current,AZL6,675,Qualification,AZL6,AZL6,CUA60715,Visual Arts,CUA60715 Advanced Diploma of Visual Arts
CUA60715,Advanced Diploma of,Visual Arts,Current,AZL6,675,Qualification,AZL6,AZL6,CUA60715,Visual Arts,CUA60715 Advanced Diploma of Visual Arts
FNS10115,Certificate I in,Financial Services,Current,AWB1,180,Qualification,AWB1,AWB1,FNS10115,Financial Services,FNS10115 Certificate I in Financial Services
FNS20115,Certificate II in,Financial Services,Current,AVX4,270,Qualification,AVX4,AVX4,FNS20115,Financial Services,FNS20115 Certificate II in Financial Services
FNS30115,Certificate III in,Financial Services,Current,AWA5,450,Qualification,AWA5,AWA5,FNS30115,Financial Services,FNS30115 Certificate III in Financial Services
FNS30215,Certificate III in,Personal Injury Management,Current,AVX0,390,Qualification,AVX0,AVX0,FNS30215,Personal Injury Management,FNS30215 Certificate III in Personal Injury Management
FNS30315,Certificate III in,Accounts Administration,Current,AWA4,440,Qualification,AWA4,AWA4,FNS30315,Accounts Administration,FNS30315 Certificate III in Accounts Administration
FNS30515,Certificate III in,General Insurance,Current,AVZ8,425,Qualification,AVZ8,AVZ8,FNS30515,General Insurance,FNS30515 Certificate III in General Insurance
FNS30615,Certificate III in,Insurance Broking,Current,AVZ3,420,Qualification,AVZ3,AVZ3,FNS30615,Insurance Broking,FNS30615 Certificate III in Insurance Broking
FNS40115,Certificate IV in,Credit Management,Current,AWC3,345,Qualification,AWC3,AWC3,FNS40115,Credit Management,FNS40115 Certificate IV in Credit Management
FNS40215,Certificate IV in,Bookkeeping,Current,AWB2,540,Qualification,AWB2,AWB2,FNS40215,Bookkeeping,FNS40215 Certificate IV in Bookkeeping
FNS40615,Certificate IV in,Accounting,Current,AWF3,595,Qualification,AWF3,AWF3,FNS40615,Accounting,FNS40615 Certificate IV in Accounting
FNS40715,Certificate IV in,Financial Practice Support,Current,AWC4,430,Qualification,AWC4,AWC4,FNS40715,Financial Practice Support,FNS40715 Certificate IV in Financial Practice Support
FNS40815,Certificate IV in,Finance and Mortgage Broking,Current,AWF6,355,Qualification,AWF6,AWF6,FNS40815,Finance and Mortgage Broking,FNS40815 Certificate IV in Finance and Mortgage Broking
FNS40915,Certificate IV in,Superannuation,Current,AVZ0,500,Qualification,AVZ0,AVZ0,FNS40915,Superannuation,FNS40915 Certificate IV in Superannuation
FNS41115,Certificate IV in,Financial Markets Operations,Current,AVY5,540,Qualification,AVY5,AVY5,FNS41115,Financial Markets Operations,FNS41115 Certificate IV in Financial Markets Operations
FNS41415,Certificate IV in,General Insurance,Current,AWD0,630,Qualification,AWD0,AWD0,FNS41415,General Insurance,FNS41415 Certificate IV in General Insurance
FNS41515,Certificate IV in,Life Insurance,Current,AVX2,470,Qualification,AVX2,AVX2,FNS41515,Life Insurance,FNS41515 Certificate IV in Life Insurance
FNS41715,Certificate IV in,Insurance Broking,Current,AWG0,510,Qualification,AWG0,AWG0,FNS41715,Insurance Broking,FNS41715 Certificate IV in Insurance Broking
FNS41815,Certificate IV in,Financial Services,Current,AVY4,510,Qualification,AVY4,AVY4,FNS41815,Financial Services,FNS41815 Certificate IV in Financial Services
FNS42015,Certificate IV in,Banking Services,Current,AVZ5,390,Qualification,AVZ5,AVZ5,FNS42015,Banking Services,FNS42015 Certificate IV in Banking Services
FNS50215,Diploma of,Accounting,Current,AVX7,580,Qualification,AVX7,AVX7,FNS50215,Accounting,FNS50215 Diploma of Accounting
FNS50315,Diploma of,Finance and Mortgage Broking Management,Current,AWC1,660,Qualification,AWC1,AWC1,FNS50315,Finance and Mortgage Broking Management,FNS50315 Diploma of Finance and Mortgage Broking Management
FNS50615,Diploma of,Financial Planning,Current,AVX5,780,Qualification,AVX5,AVX5,FNS50615,Financial Planning,FNS50615 Diploma of Financial Planning
FNS50715,Diploma of,Superannuation,Current,AWD2,740,Qualification,AWD2,AWD2,FNS50715,Superannuation,FNS50715 Diploma of Superannuation
FNS50815,Diploma of,Integrated Risk Management,Current,AWC5,540,Qualification,AWC5,AWC5,FNS50815,Integrated Risk Management,FNS50815 Diploma of Integrated Risk Management
FNS50915,Diploma of,Banking Services Management,Current,AVX9,650,Qualification,AVX9,AVX9,FNS50915,Banking Services Management,FNS50915 Diploma of Banking Services Management
FNS51015,Diploma of,Financial Markets,Current,AWC2,450,Qualification,AWC2,AWC2,FNS51015,Financial Markets,FNS51015 Diploma of Financial Markets
FNS51115,Diploma of,General Insurance,Current,AWE4,670,Qualification,AWE4,AWE4,FNS51115,General Insurance,FNS51115 Diploma of General Insurance
FNS51215,Diploma of,Insurance Broking,Current,AWB4,520,Qualification,AWB4,AWB4,FNS51215,Insurance Broking,FNS51215 Diploma of Insurance Broking
FNS51315,Diploma of,Life Insurance,Current,AWB9,695,Qualification,AWB9,AWB9,FNS51315,Life Insurance,FNS51315 Diploma of Life Insurance
FNS51415,Diploma of,Loss Adjusting,Current,AWF7,870,Qualification,AWF7,AWF7,FNS51415,Loss Adjusting,FNS51415 Diploma of Loss Adjusting
FNS51515,Diploma of,Credit Management,Current,AWA8,505,Qualification,AWA8,AWA8,FNS51515,Credit Management,FNS51515 Diploma of Credit Management
FNS51615,Diploma of,Securitisation,Current,AWC9,565,Qualification,AWC9,AWC9,FNS51615,Securitisation,FNS51615 Diploma of Securitisation
FNS51815,Diploma of,Financial Services,Current,AWB7,550,Qualification,AWB7,AWB7,FNS51815,Financial Services,FNS51815 Diploma of Financial Services
FNS60115,Advanced Diploma of,Insurance Broking,Current,AWE0,650,Qualification,AWE0,AWE0,FNS60115,Insurance Broking,FNS60115 Advanced Diploma of Insurance Broking
FNS60215,Advanced Diploma of,Accounting,Current,AWD8,770,Qualification,AWD8,AWD8,FNS60215,Accounting,FNS60215 Advanced Diploma of Accounting
FNS60415,Advanced Diploma of,Financial Planning,Current,AWD6,560,Qualification,AWD6,AWD6,FNS60415,Financial Planning,FNS60415 Advanced Diploma of Financial Planning
FNS60515,Advanced Diploma of,Superannuation,Current,AWA9,710,Qualification,AWA9,AWA9,FNS60515,Superannuation,FNS60515 Advanced Diploma of Superannuation
FNS60615,Advanced Diploma of,Banking Services Management,Current,AVZ9,710,Qualification,AVZ9,AVZ9,FNS60615,Banking Services Management,FNS60615 Advanced Diploma of Banking Services Management
FNS60715,Advanced Diploma of,Financial Licensing Management,Current,AVY8,650,Qualification,AVY8,AVY8,FNS60715,Financial Licensing Management,FNS60715 Advanced Diploma of Financial Licensing Management
FNS60815,Advanced Diploma of,Integrated Risk Management,Current,AVZ1,650,Qualification,AVZ1,AVZ1,FNS60815,Integrated Risk Management,FNS60815 Advanced Diploma of Integrated Risk Management
ICT10115,Certificate I in,"Information, Digital Media and Technology",Expired,AVY6,160,Qualification,AVY6,AVY6,ICT10115,"Information, Digital Media and Technology","ICT10115 Certificate I in Information, Digital Media and Technology"
ICT20115,Certificate II in,"Information, Digital Media and Technology",Expired,AVZ2,370,Qualification,AVZ2,AVZ2,ICT20115,"Information, Digital Media and Technology","ICT20115 Certificate II in Information, Digital Media and Technology"
ICT30115,Certificate III in,"Information, Digital Media and Technology",Expired,AWB0,610,Qualification,AWB0,AWB0,ICT30115,"Information, Digital Media and Technology","ICT30115 Certificate III in Information, Digital Media and Technology"
ICT40115,Certificate IV in,Information Technology,Expired,AWB5,690,Qualification,AWB5,AWB5,ICT40115,Information Technology,ICT40115 Certificate IV in Information Technology
ICT40120,Certificate IV in,Information Technology,Current,AC07,,Qualification,AC07,AC07,ICT40120,Information Technology,ICT40120 Certificate IV in Information Technology
ICT40215,Certificate IV in,Information Technology Support,Expired,AVY7,705,Qualification,AVY7,AVY7,ICT40215,Information Technology Support,ICT40215 Certificate IV in Information Technology Support
ICT40315,Certificate IV in,Web-Based Technologies,Expired,AWE7,705,Qualification,AWE7,AWE7,ICT40315,Web-Based Technologies,ICT40315 Certificate IV in Web-Based Technologies
ICT40415,Certificate IV in,Information Technology Networking,Expired,AWG1,660,Qualification,AWG1,AWG1,ICT40415,Information Technology Networking,ICT40415 Certificate IV in Information Technology Networking
ICT40515,Certificate IV in,Programming,Expired,AWF2,805,Qualification,AWF2,AWF2,ICT40515,Programming,ICT40515 Certificate IV in Programming
ICT40615,Certificate IV in,Information Technology Testing,Expired,AWG2,695,Qualification,AWG2,AWG2,ICT40615,Information Technology Testing,ICT40615 Certificate IV in Information Technology Testing
ICT40715,Certificate IV in,Systems Analysis and Design,Expired,AWD1,730,Qualification,AWD1,AWD1,ICT40715,Systems Analysis and Design,ICT40715 Certificate IV in Systems Analysis and Design
ICT40815,Certificate IV in,Digital Media Technologies,Expired,AVZ6,700,Qualification,AVZ6,AVZ6,ICT40815,Digital Media Technologies,ICT40815 Certificate IV in Digital Media Technologies
ICT40915,Certificate IV in,Digital and Interactive Games,Expired,AWE5,730,Qualification,AWE5,AWE5,ICT40915,Digital and Interactive Games,ICT40915 Certificate IV in Digital and Interactive Games
ICT41015,Certificate IV in,Computer Systems Technology,Expired,AVZ7,810,Qualification,AVZ7,AVZ7,ICT41015,Computer Systems Technology,ICT41015 Certificate IV in Computer Systems Technology
ICT50115,Diploma of,Information Technology,Expired,AWF1,610,Qualification,AWF1,AWF1,ICT50115,Information Technology,ICT50115 Diploma of Information Technology
ICT50215,Diploma of,Digital and Interactive Games,Expired,AVZ4,700,Qualification,AVZ4,AVZ4,ICT50215,Digital and Interactive Games,ICT50215 Diploma of Digital and Interactive Games
ICT50315,Diploma of,Information Technology Systems Administration,Current,AWE2,575,Qualification,AWE2,AWE2,ICT50315,Information Technology Systems Administration,ICT50315 Diploma of Information Technology Systems Administration
ICT50415,Diploma of,Information Technology Networking,Current,AWD7,715,Qualification,AWD7,AWD7,ICT50415,Information Technology Networking,ICT50415 Diploma of Information Technology Networking
ICT50515,Diploma of,Database Design and Development,Current,AWA1,685,Qualification,AWA1,AWA1,ICT50515,Database Design and Development,ICT50515 Diploma of Database Design and Development
ICT50615,Diploma of,Website Development,Current,AWE3,810,Qualification,AWE3,AWE3,ICT50615,Website Development,ICT50615 Diploma of Website Development
ICT50715,Diploma of,Software Development,Current,AWE6,655,Qualification,AWE6,AWE6,ICT50715,Software Development,ICT50715 Diploma of Software Development
ICT50815,Diploma of,Systems Analysis and Design,Current,AVX8,645,Qualification,AVX8,AVX8,ICT50815,Systems Analysis and Design,ICT50815 Diploma of Systems Analysis and Design
ICT50915,Diploma of,Digital Media Technologies,Current,AWD9,850,Qualification,AWD9,AWD9,ICT50915,Digital Media Technologies,ICT50915 Diploma of Digital Media Technologies
ICT60115,Advanced Diploma of,Information Technology,Current,AWA0,580,Qualification,AWA0,AWA0,ICT60115,Information Technology,ICT60115 Advanced Diploma of Information Technology
ICT60215,Advanced Diploma of,Network Security,Current,AVX6,555,Qualification,AVX6,AVX6,ICT60215,Network Security,ICT60215 Advanced Diploma of Network Security
ICT60315,Advanced Diploma of,Information Technology Business Analysis,Current,AWA6,635,Qualification,AWA6,AWA6,ICT60315,Information Technology Business Analysis,ICT60315 Advanced Diploma of Information Technology Business Analysis
ICT60415,Advanced Diploma of,Information Technology Project Management,Current,AWE1,650,Qualification,AWE1,AWE1,ICT60415,Information Technology Project Management,ICT60415 Advanced Diploma of Information Technology Project Management
ICT60515,Advanced Diploma of,Computer Systems Technology,Current,AWA2,1105,Qualification,AWA2,AWA2,ICT60515,Computer Systems Technology,ICT60515 Advanced Diploma of Computer Systems Technology
ICT80115,Graduate Certificate In,Information Technology and Strategic Management,Current,AWB8,320,Qualification,AWB8,AWB8,ICT80115,Information Technology and Strategic Management,ICT80115 Graduate Certificate In Information Technology and Strategic Management
ICT80215,Graduate Certificate In,Information Technology Sustainability,Current,AWD4,280,Qualification,AWD4,AWD4,ICT80215,Information Technology Sustainability,ICT80215 Graduate Certificate In Information Technology Sustainability
ICT80315,Graduate Certificate In,Telecommunications,Current,AVY1,225,Qualification,AVY1,AVY1,ICT80315,Telecommunications,ICT80315 Graduate Certificate In Telecommunications
ICT80415,Graduate Diploma of,Telecommunications Network Engineering,Current,AWE9,490,Qualification,AWE9,AWE9,ICT80415,Telecommunications Network Engineering,ICT80415 Graduate Diploma of Telecommunications Network Engineering
ICT80515,Graduate Diploma of,Telecommunications and Strategic Management,Current,AWF8,525,Qualification,AWF8,AWF8,ICT80515,Telecommunications and Strategic Management,ICT80515 Graduate Diploma of Telecommunications and Strategic Management
