National Code,AQF Level,Title,TGA Status,State Code,Nominal Hours,Type,QA,StateCode,NatCode,NatTitle,NatCodeAndTitle
BSB50315,Diploma of,Customer Engagement,Current,AVV8,550,Qualification,AVV8,AVV8,BSB50315,Customer Engagement,BSB50315 Diploma of Customer Engagement
BSB50415,Diploma of,Business Administration,Current,AVV5,415,Qualification,AVV5,AVV5,BSB50415,Business Administration,BSB50415 Diploma of Business Administration
BSB50515,Diploma of,Franchising,Current,AVT2,380,Qualification,AVT2,AVT2,BSB50515,Franchising,BSB50515 Diploma of Franchising
BSB50615,Diploma of,Human Resources Management,Current,AVT7,540,Qualification,AVT7,AVT7,BSB50615,Human Resources Management,BSB50615 Diploma of Human Resources Management
BSB50715,Diploma of,Business (Governance),Current,AVU2,610,Qualification,AVU2,AVU2,BSB50715,Business (Governance),BSB50715 Diploma of Business (Governance)
BSB50815,Diploma of,International Business,Current,AVT5,370,Qualification,AVT5,AVT5,BSB50815,International Business,BSB50815 Diploma of International Business
BSB51215,Diploma of,Marketing,Replaced,AVW6,390,Qualification,AVW6,AVW6,BSB51215,Marketing,BSB51215 Diploma of Marketing
BSB51315,Diploma of,Work Health and Safety,Current,AVV6,450,Qualification,AVV6,AVV6,BSB51315,Work Health and Safety,BSB51315 Diploma of Work Health and Safety
BSB51415,Diploma of,Project Management,Current,AVW5,530,Qualification,AVW5,AVW5,BSB51415,Project Management,BSB51415 Diploma of Project Management
BSB51515,Diploma of,Purchasing,Current,AVW1,405,Qualification,AVW1,AVW1,BSB51515,Purchasing,BSB51515 Diploma of Purchasing
BSB51615,Diploma of,Quality Auditing,Current,AVS3,355,Qualification,AVS3,AVS3,BSB51615,Quality Auditing,BSB51615 Diploma of Quality Auditing
BSB51715,Diploma of,Recordkeeping,Current,AVW7,360,Qualification,AVW7,AVW7,BSB51715,Recordkeeping,BSB51715 Diploma of Recordkeeping
BSB51915,Diploma of,Leadership and Management,Current,AVU0,665,Qualification,AVU0,AVU0,BSB51915,Leadership and Management,BSB51915 Diploma of Leadership and Management
BSB52015,Diploma of,Conveyancing,Current,AVV4,625,Qualification,AVV4,AVV4,BSB52015,Conveyancing,BSB52015 Diploma of Conveyancing
BSB52115,Diploma of,Library and Information Services,Current,AZJ4,1165,Qualification,AZJ4,AZJ4,BSB52115,Library and Information Services,BSB52115 Diploma of Library and Information Services
BSB52215,Diploma of,Legal Services,Current,AVS5,480,Qualification,AVS5,AVS5,BSB52215,Legal Services,BSB52215 Diploma of Legal Services
BSB52315,Diploma of,Governance,Current,AZJ0,590,Qualification,AZJ0,AZJ0,BSB52315,Governance,BSB52315 Diploma of Governance
BSB52415,Diploma of,Marketing and Communication,Current,AZK1,625,Qualification,AZK1,AZK1,BSB52415,Marketing and Communication,BSB52415 Diploma of Marketing and Communication
BSB60115,Advanced Diploma of,Advertising,Replaced,AVW2,540,Qualification,AVW2,AVW2,BSB60115,Advertising,BSB60115 Advanced Diploma of Advertising
BSB60215,Advanced Diploma of,Business,Current,AVV2,450,Qualification,AVV2,AVV2,BSB60215,Business,BSB60215 Advanced Diploma of Business
BSB60515,Advanced Diploma of,Marketing,Replaced,AVS1,460,Qualification,AVS1,AVS1,BSB60515,Marketing,BSB60515 Advanced Diploma of Marketing
BSB60615,Advanced Diploma of,Work Health and Safety,Current,AVR0,460,Qualification,AVR0,AVR0,BSB60615,Work Health and Safety,BSB60615 Advanced Diploma of Work Health and Safety
BSB60815,Advanced Diploma of,Recordkeeping,Current,AVT9,430,Qualification,AVT9,AVT9,BSB60815,Recordkeeping,BSB60815 Advanced Diploma of Recordkeeping
BSB60915,Advanced Diploma of,Management (Human Resources),Current,AVR1,410,Qualification,AVR1,AVR1,BSB60915,Management (Human Resources),BSB60915 Advanced Diploma of Management (Human Resources)
BSB61015,Advanced Diploma of,Leadership and Management,Current,AVW8,720,Qualification,AVW8,AVW8,BSB61015,Leadership and Management,BSB61015 Advanced Diploma of Leadership and Management
BSB61115,Advanced Diploma of,Conveyancing,Current,AVU5,935,Qualification,AVU5,AVU5,BSB61115,Conveyancing,BSB61115 Advanced Diploma of Conveyancing
BSB61215,Advanced Diploma of,Program Management,Current,AVR8,625,Qualification,AVR8,AVR8,BSB61215,Program Management,BSB61215 Advanced Diploma of Program Management
BSB61315,Advanced Diploma of,Marketing and Communication,Current,AZJ7,730,Qualification,AZJ7,AZJ7,BSB61315,Marketing and Communication,BSB61315 Advanced Diploma of Marketing and Communication
BSB80215,Graduate Diploma of,Strategic Leadership,Current,AVT1,630,Qualification,AVT1,AVT1,BSB80215,Strategic Leadership,BSB80215 Graduate Diploma of Strategic Leadership
