National Code,Title,TGA Status,State Code,Nominal Hours
BSBPMG516,Manage project information and communication,Current,AUL32,40
BSBPMG517,Manage project risk,Current,AUI09,40
BSBPMG518,Manage project procurement,Current,AUI04,50
BSBPMG519,Manage project stakeholder engagement,Current,AUL26,40
BSBPMG520,Manage project governance,Current,AUK84,20
BSBPMG521,Manage project integration,Current,AUL11,50
BSBPMG522,Undertake project work,Current,AUI91,45
BSBPMG601,Direct the integration of projects,Current,AUI63,40
BSBPMG602,Direct the scope of a project program,Current,AUL90,50
BSBPMG603,Direct time management of a project program,Current,AUK59,50
BSBPMG604,Direct cost management of a project program,Current,AUH32,50
BSBPMG605,Direct quality management of a project program,Current,AUH31,50
BSBPMG606,Direct human resources management of a project program,Current,AUL51,50
BSBPMG607,Direct communications management of a project program,Current,AUI07,50
BSBPMG609,Direct procurement and contracting for a project program,Current,AUL18,50
BSBPMG610,Enable program execution,Current,AUI10,45
BSBPMG611,Facilitate stakeholder engagement,Current,AUL35,35
BSBPMG612,Implement program governance,Current,AUJ16,55
BSBPMG613,Manage benefits,Current,AUI94,35
BSBPMG614,Engage in collaborative alliances,Current,AUH94,45
BSBPMG615,Manage program delivery,Current,AUK14,55
BSBPMG616,Manage program risk,Current,AUM17,50
BSBPMG617,Provide leadership for the program,Current,AUL39,65
BSBPMG801,Prioritise projects and programs,Current,AUM42,70
BSBPMG802,Select and balance the portfolio,Current,AUI84,90
BSBPMG803,Manage and review portfolio performance,Current,AUL04,70
BSBPMG804,Govern the portfolio,Current,AUJ77,90
BSBPMG805,Lead the portfolio,Current,AUJ12,55
BSBPMG806,Manage portfolio communications and change,Current,AUL45,70
BSBPMG807,Manage portfolio resources,Current,AUI14,80
BSBPMG808,Manage portfolio risk,Current,AUK53,55
BSBPRO301,Recommend products and services,Current,AUM18,20
BSBPRO401,Develop product knowledge,Current,AUH87,20
BSBPUB401,Develop and apply knowledge of public relations industry,Current,Aug-96,80
BSBPUB402,Develop public relations campaigns,Current,AUJ85,50
BSBPUB403,Develop public relations documents,Current,AUL15,50
BSBPUB501,Manage the public relations publication process,Current,AUI40,45
BSBPUB502,Develop and manage complex public relations campaigns,Current,AUJ19,50
BSBPUB503,Manage fundraising and sponsorship activities,Current,AUI76,50
BSBPUB504,Develop and implement crisis management plans,Current,AUH58,40
BSBPUR301,Purchase goods and services,Current,AUH11,30
BSBPUR401,Plan purchasing,Current,AUH91,40
BSBPUR402,Negotiate contracts,Current,AUI18,30
BSBPUR403,Conduct international purchasing,Current,AUH84,50
BSBPUR501,"Develop, implement and review purchasing strategies",Current,AUJ00,50
BSBPUR502,Manage supplier relationships,Current,Aug-97,50
BSBPUR503,Manage international purchasing,Current,AUH65,60
BSBPUR504,Manage a supply chain,Current,AUK62,40
BSBREL401,Establish networks,Current,AUL56,40
BSBREL402,Build client relationships and business networks,Current,AUH39,30
BSBREL403,Implement international client relationship strategies,Current,AUI56,40
BSBREL501,Build international client relationships,Current,AUK04,40
BSBREL502,Build international business networks,Current,AUI36,40
BSBRES401,Analyse and present research information,Current,AUL69,40
BSBRES404,Research legal information using primary sources,Current,AUK92,40
BSBRES502,Research legal information using secondary sources,Current,AUH25,40
BSBRES801,Initiate and lead applied research,Current,AUI35,150
BSBRKG301,Control records,Current,AUK99,50
BSBRKG302,Undertake disposal,Current,AUH40,25
BSBRKG303,Retrieve information from records,Current,AUK20,30
BSBRKG304,Maintain business records,Current,AUL57,30
BSBRKG305,Review recordkeeping functions,Current,AUM30,20
BSBRKG401,Review the status of a record,Current,AUH93,40
BSBRKG402,Provide information from and about records,Current,AUK02,40
BSBRKG403,Set up a business or records system for a small business,Current,AUH86,40
BSBRKG404,Monitor and maintain records in an online environment,Current,AUH73,50
BSBRKG502,Manage and monitor business or records systems,Current,AUI71,45
BSBRKG505,Document or reconstruct a business or records system,Current,AUK89,45
BSBRKG506,Develop and maintain terminology and classification schemes,Current,AUJ02,40
BSBRKG601,Define recordkeeping framework,Current,AUJ99,30
BSBRKG603,Prepare a functional analysis for an organisation,Current,AUL86,60
BSBRKG604,Determine security and access rules and procedures,Current,AUM02,60
BSBRKG605,Determine records requirements to document a function,Current,AUH90,60
BSBRKG606,Design a records retention and disposal schedule,Current,AUJ69,50
BSBRKG607,Document and monitor the record creating context,Current,AUH50,60
BSBRKG608,Plan management of records over time,Current,AUJ80,60
BSBRSK401,Identify risk and apply risk management processes,Current,AUI64,40
BSBRSK501,Manage risk,Current,AUM52,50
BSBSLS407,Identify and plan sales prospects,Current,AUJ31,40
BSBSLS408,"Present, secure and support sales solutions",Current,AUH05,40
BSBSLS501,Develop a sales plan,Current,AUL34,70
BSBSLS502,Lead and manage a sales team,Current,AUK27,40
BSBSMB201,Identify suitability for micro business,Current,AUJ60,20
BSBSMB301,Investigate micro business opportunities,Current,AUI99,30
BSBSMB302,Develop a micro business proposal,Current,AUL96,30
BSBSMB303,Organise finances for the micro business,Current,Aug-99,50
BSBSMB304,Determine resource requirements for the micro business,Current,AUL64,30
BSBSMB305,"Comply with regulatory, taxation and insurance requirements for the micro business",Current,AUJ89,45
BSBSMB306,Plan a home based business,Current,Aug-92,25
BSBSMB307,Set up information and communications technology for the micro business,Current,AUJ76,20
BSBSMB308,Improve energy efficiency in micro or small business operations,Current,AUJ51,30
BSBSMB401,Establish legal and risk management requirements of small business,Current,AUL08,40
BSBSMB402,Plan small business finances,Current,AUH17,50
BSBSMB403,Market the small business,Current,AUL85,40
BSBSMB404,Undertake small business planning,Current,AUH57,50
BSBSMB405,Monitor and manage small business operations,Current,AUH72,50
BSBSMB406,Manage small business finances,Current,AUH81,50
BSBSMB407,Manage a small team,Current,AUK88,40
BSBSMB408,"Manage personal, family, cultural and business obligations",Current,AUL20,30
BSBSMB409,Build and maintain relationships with small business stakeholders,Current,AUM00,20
BSBSMB410,Review and implement energy efficiency in business operations,Current,AUJ13,40
BSBSMB411,Manage specialist external advisory services,Current,AUH70,55
BSBSMB412,Introduce cloud computing into business operations,Current,AUH29,45
BSBSMB413,Design a digital action plan for small business,Current,AWF76,45
BSBSMB414,Time management for small business,Current,AWF77,35
BSBSMB415,Refine and strengthen a small business,Current,AWF75,45
BSBSMB416,Plan small business growth,Current,AWF74,35
BSBSMB417,Recruit staff,Current,AWF73,45
BSBSMB418,Manage compliance for small business,Current,AWF72,55
BSBSUS201,Participate in environmentally sustainable work practices,Current,AUK77,10
BSBSUS401,Implement and monitor environmentally sustainable work practices,Current,AWF71,40
BSBSUS402,Implement an environmental management plan,Current,AWF69,35
BSBSUS403,"Measure, monitor and reduce carbon emissions",Current,AWF70,35
BSBSUS404,"Assess, implement, monitor and report on waste management",Current,AWF68,35
BSBSUS405,"Assess, monitor and reduce water use",Current,AWF67,35
BSBSUS406,Identify and apply sustainability rating tools,Current,AWF66,35
BSBSUS501,Develop workplace policy and procedures for sustainability,Current,AUI86,50
BSBWHS201,Contribute to health and safety of self and others,Current,AUL95,15
BSBWHS301,Maintain workplace safety,Current,AUK29,20
BSBWHS302,Apply knowledge of WHS legislation in the workplace,Current,AUL62,30
BSBWHS303,"Participate in WHS hazard identification, risk assessment and risk control",Current,AUI52,30
BSBWHS304,Participate effectively in WHS communication and consultation processes,Current,AUH98,30
BSBWHS305,Contribute to WHS issue resolution,Current,AUK25,20
BSBWHS401,"Implement and monitor WHS policies, procedures and programs to meet legislative requirements",Current,AUL17,40
BSBWHS402,Assist with compliance with WHS laws,Current,AUI25,40
BSBWHS403,Contribute to implementing and maintaining WHS consultation and participation processes,Current,AUI30,40
BSBWHS404,"Contribute to WHS hazard identification, risk assessment and risk control",Current,AUL09,40
BSBWHS405,Contribute to implementing and maintaining WHS management systems,Current,AUH35,50
BSBWHS406,Assist with responding to incidents,Current,AUK46,30
BSBWHS407,"Assist with claims management, rehabilitation and return-to-work programs",Current,AUM41,40
BSBWHS408,Assist with effective WHS management of contractors,Current,AUI03,30
BSBWHS409,Assist with workplace monitoring processes,Current,AUI93,50
BSBWHS410,Contribute to work-related health and safety measures and initiatives,Current,AUK21,15
BSBWHS501,Ensure a safe workplace,Current,AUM01,50
BSBWHS502,Manage effective WHS consultation and participation processes,Current,AUI78,50
BSBWHS503,Contribute to the systematic management of WHS risk,Current,AUM38,50
BSBWHS504,Manage WHS risks,Current,AUL12,50
BSBWHS505,Investigate WHS incidents,Current,AUK76,60
BSBWHS506,"Contribute to developing, implementing and maintaining WHS management systems",Current,AUM23,50
BSBWHS507,Contribute to managing WHS information systems,Current,AUJ81,50
BSBWHS508,Manage WHS hazards associated with plant,Current,AUK71,50
BSBWHS509,Facilitate the development and use of WHS risk management tools,Current,AUI74,30
BSBWHS510,Contribute to implementing emergency procedures,Current,AUJ21,40
BSBWHS601,Apply legislative frameworks for WHS,Current,AUK50,30
BSBWHS602,Facilitate WHS activities,Current,AUH45,30
BSBWHS603,Implement WHS risk management,Current,AUK73,40
BSBWHS604,Evaluate the WHS performance of organisations,Current,AUH03,50
BSBWHS605,"Develop, implement and maintain WHS management systems",Current,AUM15,60
BSBWHS606,Conduct a WHS audit,Current,AUJ71,60
BSBWHS607,Apply ergonomics to manage WHS risks,Current,AUJ50,50
BSBWHS608,Assist with applying occupational hygiene to manage WHS risks,Current,AUJ38,50
BSBWHS609,Advise on the application of safe design principles to control WHS risks,Current,AUH30,50
BSBWOR201,Manage personal stress in the workplace,Current,AUI68,40
BSBWOR202,Organise and complete daily work activities,Current,AUK61,15
BSBWOR203,Work effectively with others,Current,AUH64,20
BSBWOR204,Use business technology,Current,AUK98,30
BSBWOR301,Organise personal work priorities and development,Current,AUJ68,30
BSBWOR302,Work effectively as an off-site worker,Current,AUI23,40
BSBWOR403,Manage stress in the workplace,Current,AUJ56,60
BSBWOR404,Develop work priorities,Current,AUJ35,30
BSBWOR501,Manage personal work priorities and professional development,Current,AUK69,50
BSBWOR502,Lead and manage team effectiveness,Current,AUH47,50
BSBWRK409,Prepare for and participate in dispute resolution,Current,AUM34,40
BSBWRK411,Support employee and industrial relations procedures,Current,AUJ32,40
BSBWRK510,Manage employee relations,Current,AUJ86,60
BSBWRT301,Write simple documents,Current,AUI96,30
BSBWRT401,Write complex documents,Current,AUK28,50
BSBWRT501,Write persuasive copy,Current,AUJ11,40
CUAACD101,Use basic drawing techniques,Current,AWK37,40
CUAACD201,Develop drawing skills to communicate ideas,Current,AWK36,70
CUAACD301,Produce drawings to communicate ideas,Current,AWK35,40
CUAACD302,Produce computer-aided drawings,Current,AWK34,60
CUAACD303,Produce technical drawings,Current,AWK33,70
CUAACD304,Make scale models,Current,AWK32,70
CUAACD401,Integrate colour theory and design processes,Current,AWK31,20
CUAACD402,Experiment with moulding and casting techniques,Current,AWK30,45
CUAACD501,Refine drawing and other visual representation tools,Current,AWK27,60
CUAACD502,Create observational drawings,Current,AWK29,45
CUAACD503,Select and refine a specialised drawing technique,Current,AWK28,40
CUAACD504,Research and apply light and colour,Current,AWK25,40
CUAACD505,Work with the human form in creative practice,Current,AWK24,45
CUAACD506,Refine 2-D design ideas and processes,Current,AWK26,60
CUAACD507,Refine 3-D design ideas and processes,Current,AWK23,60
CUAACD508,Refine model making skills,Current,AWK22,60
CUAACD509,Develop and refine metalworking techniques,Current,AWK21,45
CUAACD510,Manage kiln operations,Current,AWK19,30
CUAACD511,Make moulds and casts,Current,AWK20,45
CUAACD512,Work with photomedia in creative practice,Current,AWK18,50
CUAACD513,Make mixed media artworks,Current,AWK16,50
CUAACD514,Refine carving techniques for creative work,Current,AWK17,55
CUAACD515,Manage specialised finishing processes,Current,AWK15,40
CUAACD601,Extend professional expertise with drawing and other visual representation tools,Current,AWK14,55
CUAACD602,Extend professional expertise across new art forms and media,Current,AWK13,45
CUAACT301,Develop basic acting techniques,Current,WI001,30
CUAACT401,Use a range of acting techniques in performance,Current,WI002,45
CUAACT402,Develop acting techniques for musical theatre,Current,WI003,90
CUAACT403,Develop comedy techniques for musical theatre,Current,WI004,20
CUAACT404,Develop specialist acting techniques for musical theatre repertoire,Current,WI005,30
CUAADM301,Administer bookings for rehearsals and performances,Current,AWK12,40
CUAADM302,Book performance venues,Current,AWK11,34
CUAAIR201,Develop techniques for presenting information on air,Current,AWK10,30
CUAAIR301,Present programs on air,Current,AWK09,30
CUAAIR302,Develop techniques for presenting to camera,Current,AWK08,30
CUAAIR401,Conduct interviews,Current,AWK07,40
CUAAIR402,Present a wide range of material on air,Current,AWK06,30
CUAAIR501,Explore issues on air,Current,AWK05,30
CUAANM301,Create 2D digital animations,Current,AWK04,60
CUAANM302,Create 3D digital animations,Current,AWK03,75
CUAANM303,Create 3D digital models,Current,AWF65,75
CUAANM401,Create advanced 3D digital models,Current,AWK02,50
CUAANM402,Create digital visual effects,Current,AWF63,70
CUAANM403,Create titles for screen productions,Current,AWK01,50
CUAANM501,Create 3D digital character animation,Current,AWK00,50
CUAANM502,Create 3D digital environments,Current,AWJ99,60
CUAANM503,Design animation and digital visual effects,Current,AWJ97,80
CUAATS101,Develop understanding of own Aboriginal or Torres Strait Islander identity,Current,AWJ98,50
CUAATS201,Prepare for work in the Aboriginal and Torres Strait Islander visual arts industry,Current,AWJ96,25
CUAATS202,Investigate and present features of Aboriginal and Torres Strait Islander culture,Current,AWJ95,25
CUAATS301,Work effectively in the Aboriginal and Torres Strait Islander visual arts industry,Current,AWF64,50
CUAATS302,Produce work that expresses own Aboriginal or Torres Strait Islander identity,Current,AWJ94,60
CUAATS303,Develop and apply knowledge of Aboriginal or Torres Strait Islander cultural arts,Current,AWJ92,50
CUAATS401,Develop and apply knowledge of the Aboriginal and Torres Strait Islander visual arts industry,Current,AWJ93,200
CUAATS501,Plan Aboriginal and Torres Strait Islander visual arts projects,Current,AWJ90,80
CUAATS502,Research the cultures of Aboriginal and Torres Strait Islander visual artists,Current,AWJ91,80
CUAATS503,Work effectively with Aboriginal and Torres Strait Islander visual artists and their communities,Current,AWJ89,65
CUAATS504,Work with Aboriginal and Torres Strait Islander cultural material,Current,AWF62,30
CUABRD301,Perform basic transmission operations,Current,AWJ87,40
CUABRD302,Provide production support for television productions,Current,AWJ88,50
CUABRD303,Prepare video material for television transmission,Current,AWJ86,40
CUABRD401,Carry out television transmission operations,Current,AWJ85,10
CUABRD402,Vision mix television productions,Current,AWJ84,50
CUABRD403,Transfer film to digital formats,Current,AWJ83,10
CUABRD501,Operate master control,Current,AWJ82,50
CUABRT401,Install or upgrade broadcast equipment and facilities,Current,AWJ80,100
CUABRT402,Maintain broadcast equipment and facilities,Current,AWJ78,100
CUABRT403,Ensure quality of broadcast output,Current,AWJ79,100
CUABRT404,Coordinate outside broadcasts,Current,AWJ81,100
CUABRT501,Collaborate on the design of broadcasting facilities,Current,AWJ77,50
CUACAL301,Produce calligraphy,Current,AWJ74,50
CUACAL401,Experiment with techniques to produce calligraphy,Current,AWJ75,60
CUACAM201,Assist with a basic camera shoot,Current,AWF61,30
CUACAM301,Shoot material for screen productions,Current,AWF59,60
CUACAM302,Rig camera infrastructure,Current,AWJ76,30
CUACAM401,Shoot a wide range of screen content,Current,AWJ72,70
CUACAM402,Shoot screen content in a multi-camera environment,Current,AWJ73,60
CUACAM403,Install camera supports,Current,AWJ71,30
CUACAM404,Pull focus,Current,AWJ70,15
CUACAM501,Shoot material for screen productions under special conditions,Current,AWJ69,60
CUACAM601,Direct cinematography for screen productions,Current,AWJ68,50
CUACER201,Develop ceramic skills,Current,AWJ67,40
CUACER301,Produce ceramics,Current,AWJ66,50
CUACER401,Experiment with techniques to produce ceramics,Current,AWJ65,60
CUACER402,Experiment with throwing techniques,Current,AWJ64,60
CUACER403,Experiment with ceramic surface treatments,Current,AWJ63,45
CUACER501,Refine ceramics techniques,Current,AWJ62,55
CUACER502,Investigate ceramic materials and processes,Current,AWJ59,65
CUACER503,Refine throwing techniques,Current,AWJ61,60
CUACER504,Refine handbuilding techniques,Current,AWJ60,60
CUACER505,Develop and apply ceramic glazes,Current,AWJ58,55
CUACHR301,Develop basic dance composition skills,Current,WI006,20
CUACHR401,Create and perform dance pieces,Current,WI007,30
CUACHR402,Create short dance pieces,Current,WI008,30
CUACHR403,Develop choreography skills,Current,WI009,40
CUACHR501,Create and perform complex dance pieces,Current,WI010,50
CUACHR601,Create choreography for stage and screen,Current,WI011,60
CUACHR602,Develop skills in dance notation,Current,WI012,40
CUACIR301,Perform basic on-ground acrobatic techniques,Current,WI013,20
CUACIR401,Develop acrobatic techniques for theatrical performances,Current,WI014,25
CUACMP301,Implement copyright arrangements,Current,AWJ57,40
CUACMP501,Manage copyright arrangements,Current,AWJ56,50
CUACNM201,Monitor collections for changes in condition,Current,AWJ55,30
CUACNM301,Move and store collection material,Current,AWF60,50
CUACNM401,Assess the significance of collection objects,Current,AWF58,40
CUACNM402,Prepare display mounts for collection material,Current,AWF57,50
CUACNM403,Work with cultural material,Current,AWF56,20
CUACNM501,Assess the significance of collections,Current,AWF55,40
CUACNM601,Manage collection maintenance and preservation procedures,Current,AWF54,100
CUACOS301,Apply art finishing,Current,WI015,40
CUACOS302,Dress performers,Current,WI016,25
CUACOS303,"Modify, repair and maintain costumes",Current,WI017,30
CUACOS304,Develop and apply knowledge of costume,Current,WI018,40
CUACOS305,Maintain costume continuity,Current,AWJ54,40
CUACOS401,Make costumes for dance and physical theatre,Current,WI019,80
CUACOS402,Make costume accessories,Current,WI020,60
CUACOS403,Develop expertise in costume component construction,Current,AWJ53,80
CUACOS404,Construct blocks for period costumes,Current,AWJ52,80
CUACOS405,Develop expertise in pattern development for costume,Current,AWJ51,80
CUACOS501,Make period costumes,Current,WI021,160
CUACOS502,Make character costumes,Current,WI022,80
CUACOS503,Create theatrical millinery,Current,WI023,140
CUACOS504,Make specialised costumes,Current,WI024,60
CUACOS505,Coordinate costume manufacture,Current,WI025,55
CUACOS506,Manage an off-site costume department,Current,AWJ50,60
CUACOS507,Construct costume corsetry and undergarments,Current,AWJ48,100
CUACOS508,Cut and drape complex period costumes,Current,AWJ49,100
CUACOS509,Design costumes,Current,AWJ47,100
CUACOS510,Realise costumes,Current,AWJ46,60
CUADAN101,Develop foundation dance techniques,Current,WI026,25
CUADAN102,Develop foundation ballet dance technique,Current,WI027,40
CUADAN103,Develop foundation jazz dance technique,Current,WI028,25
CUADAN104,Develop foundation tap dance technique,Current,WI029,25
CUADAN105,Develop foundation street dance technique,Current,WI030,25
CUADAN106,Develop foundation cultural dance technique,Current,WI031,25
CUADAN201,Develop basic dance techniques,Current,WI032,50
CUADAN202,Incorporate artistic expression into basic dance performances,Current,WI033,20
CUADAN203,Perform basic jazz dance technique,Current,WI034,45
CUADAN204,Perform basic Aboriginal and Torres Strait Islander dance technique,Current,WI035,80
CUADAN205,Perform basic contemporary dance technique,Current,WI036,45
CUADAN206,Perform basic ballet technique,Current,WI037,45
CUADAN207,Perform basic tap technique,Current,WI038,45
CUADAN208,Perform basic street dance technique,Current,WI039,45
CUADAN209,Perform basic cultural dance technique,Current,WI040,45
CUADAN301,Integrate rhythm in dance or movement technique,Current,WI041,20
CUADAN302,Increase depth of Aboriginal and Torres Strait Islander dance technique,Current,WI042,20
CUADAN303,Develop dance partnering techniques,Current,WI043,60
CUADAN304,Develop dance improvisation skills,Current,WI044,30
CUADAN305,Increase depth of jazz dance technique,Current,WI045,50
CUADAN306,Increase depth of ballet dance technique,Current,WI046,80
CUADAN307,Increase depth of cultural dance technique,Current,WI047,80
CUADAN308,Increase depth of contemporary dance technique,Current,WI048,45
CUADAN309,Increase depth of street dance technique,Current,WI049,45
CUADAN310,Increase depth of social dance technique,Current,WI050,45
CUADAN311,Increase depth of tap dance technique,Current,WI051,45
CUADAN402,Improvise advanced dance sequences,Current,WI052,40
CUADAN403,Develop expertise in jazz dance technique,Current,WI053,65
CUADAN404,Develop expertise in bodyweather and butoh dance technique,Current,WI054,70
CUADAN405,Develop expertise in street dance technique,Current,WI055,70
CUADAN406,Develop expertise in social dance technique,Current,WI056,70
CUADAN407,Develop expertise in dance performance technique,Current,WI057,70
CUADAN408,Develop expertise in ballet technique,Current,WI058,100
CUADAN409,Develop expertise in contemporary dance technique,Current,WI059,100
CUADAN410,Develop expertise in tap dance technique,Current,WI060,70
CUADAN411,Develop expertise in cultural dance technique,Current,WI061,60
CUADAN412,Develop dance techniques for musical theatre,Current,WI062,140
CUADAN501,Refine ballet technique,Current,WI063,140
CUADAN502,Refine ballet performance skills,Current,WI064,140
CUADAN503,Perform repertoire for corps de ballet,Current,WI065,120
CUADAN504,Perform ballet solo variations,Current,WI066,115
CUADAN505,Refine contemporary dance technique,Current,WI067,140
CUADAN506,Refine cultural dance technique,Current,WI068,75
CUADAN507,Refine dance partnering techniques,Current,WI069,100
CUADAN508,Develop expertise in allied contemporary dance techniques,Current,WI070,80
CUADAN509,Refine pointe work techniques,Current,WI071,85
CUADAN601,Perform dance repertoire at a professional level,Current,WI072,120
CUADAN602,Perform advanced classical ballet technique,Current,WI073,140
CUADAN603,Extend ballet technique to a professional level,Current,WI074,220
CUADAN604,Extend ballet performance skills to a professional level,Current,WI075,120
CUADAN605,Perform pas de deux at a professional level,Current,WI076,100
CUADAN606,Extend pointe work techniques to a professional level,Current,WI077,90
CUADAN607,Extend contemporary dance technique to a professional level,Current,WI078,120
CUADAN608,Extend contemporary dance performance skills to a professional level,Current,WI079,120
CUADAN609,Extend cultural dance performance skills to a professional level,Current,WI080,100
CUADAN610,Extend allied contemporary dance techniques at a professional level,Current,WI081,100
CUADAN611,Perform virtuoso contemporary dance technique,Current,WI082,140
CUADES401,Research and apply techniques for the design of wearable objects,Current,AWJ44,90
CUADES402,Research and apply techniques in product design,Current,AWJ45,70
CUADES403,Research and apply techniques in spatial design,Current,AWJ42,80
CUADES501,Design events,Current,WI083,20
CUADES502,Realise production designs,Current,WI084,100
CUADES601,Design innovative products,Current,AWJ41,50
CUADIG201,Maintain interactive content,Current,AWF53,30
CUADIG202,Develop digital imaging skills,Current,AWJ40,40
CUADIG203,Develop video art skills,Current,AWJ43,40
CUADIG301,Prepare video assets,Current,AWJ36,30
CUADIG302,Author interactive sequences,Current,AWJ37,40
CUADIG303,Produce and prepare photo images,Current,AWF52,60
CUADIG304,Create visual design components,Current,AWJ35,40
CUADIG305,Produce digital images,Current,AWJ39,50
CUADIG306,Produce video art,Current,AWJ38,50
CUADIG401,Author interactive media,Current,AWF51,50
CUADIG402,Design user interfaces,Current,AWJ32,50
CUADIG403,Create user interfaces,Current,AWJ33,50
CUADIG404,Apply scripting language in authoring,Current,AWJ34,60
CUADIG405,Produce innovative digital images,Current,AWJ31,60
CUADIG406,Produce innovative video art,Current,AWJ30,60
CUADIG501,Coordinate the testing of interactive media products,Current,AWJ29,40
CUADIG502,Design digital applications,Current,AWJ28,50
CUADIG503,Design e-learning resources,Current,AWJ27,40
CUADIG504,Design games,Current,AWJ26,40
CUADIG505,Design information architecture,Current,AWJ25,70
CUADIG506,Design interaction,Current,AWJ23,40
CUADIG507,Design digital simulations,Current,AWJ24,50
CUADIG508,Refine digital art techniques,Current,AWJ22,70
CUADIG509,Investigate technologies for the creation of digital art,Current,AWJ21,60
CUADLT301,Develop basic dance analysis skills,Current,WI085,20
CUADLT401,Document dance,Current,WI086,40
CUADLT402,Explore the relationship between music and dance,Current,WI087,40
CUADRA201,Develop drawing skills,Current,AWF49,40
CUADRA301,Produce drawings,Current,AWJ20,50
CUADRA401,Experiment with techniques to produce drawings,Current,AWJ19,60
CUADRA501,Refine drawing techniques,Current,AWJ18,70
CUADRA502,Investigate drawing materials and processes,Current,AWJ16,60
CUADRT401,Direct television programs and segments,Current,AWJ14,60
CUADRT501,Direct rehearsals of performers,Current,AWJ17,50
CUADRT502,Direct performers for screen productions,Current,AWJ15,50
CUADRT601,Establish the creative vision for screen productions,Current,AWJ13,50
CUADRT602,Audition and select performers,Current,AWJ12,50
CUADRT603,Direct screen production crews,Current,AWJ11,50
CUADRT604,Devise camera coverage,Current,AWJ09,50
CUADRT605,Collaborate with editors during post-production,Current,AWJ10,50
CUADTM301,Assist with dance teaching,Current,WI088,35
CUADTM401,Plan and organise dance classes,Current,WI089,40
CUADTM402,Teach basic classical ballet dance technique,Current,WI090,60
CUADTM403,Apply safe dance teaching methods,Current,WI091,60
CUADTM404,Teach basic jazz dance technique,Current,WI092,40
CUADTM405,Teach basic contemporary dance technique,Current,WI093,40
CUADTM406,Teach basic tap dance technique,Current,WI094,40
CUADTM407,Teach basic cultural dance technique,Current,WI095,40
CUADTM408,Teach Cecchetti Ballet method at introductory level,Current,WI096,40
CUADTM409,Teach Cecchetti Ballet method at junior level,Current,WI097,40
CUADTM410,Teach Cecchetti Ballet method at intermediate level,Current,WI098,40
CUADTM411,Teach basic dance technique,Current,WI099,75
CUADTM501,Maintain professional practice as a dance school or studio manager,Current,WI100,70
CUADTM502,Teach medium level classical ballet dance technique,Current,WI101,70
CUADTM503,Teach medium level jazz dance technique,Current,WI102,70
CUADTM504,Teach medium level contemporary dance technique,Current,WI103,70
CUADTM505,Teach medium level tap dance technique,Current,WI104,70
CUADTM506,Teach medium level cultural dance technique,Current,WI105,70
CUADTM507,Teach classical ballet pointe technique,Current,WI106,50
CUADTM508,Refine dance teaching methodologies,Current,WI107,60
CUADTM509,Refine professional practice as a dance teacher,Current,WI108,40
CUADTM510,Develop teaching programs for the Advanced 1 level of the Cecchetti Ballet method,Current,WI109,85
CUADTM511,Teach medium level dance technique,Current,WI110,180
CUADTM601,Teach high level classical ballet dance technique,Current,WI111,150
CUADTM602,Teach high level jazz dance technique,Current,WI112,150
CUADTM603,Teach high level contemporary dance technique,Current,WI113,150
CUADTM604,Teach high level tap dance technique,Current,WI114,150
CUADTM605,Teach high level cultural dance technique,Current,WI115,150
CUADTM606,Teach high level dance technique,Current,WI116,150
CUAEVP201,Assist with the staging of public activities and events,Current,AWF50,50
CUAEVP202,Provide visitors with venue information and assistance,Current,AWJ08,30
CUAEVP401,"Present information on activities, events and public programs",Current,AWF48,40
CUAEVP402,Design and develop interpretive displays,Current,AWF47,100
CUAEVP403,Install and dismantle exhibition elements,Current,AWF46,40
CUAEVP501,Coordinate the installation and dismantling of exhibitions,Current,AWF45,55
CUAEVP502,Develop and implement exhibition interpretive strategies,Current,AWF43,100
CUAFIM401,Obtain revenue to support operations,Current,AWF44,40
CUAFIM501,Source funding for projects,Current,AWJ07,65
CUAFOH201,Undertake routine front of house duties,Current,WI117,50
CUAFOH202,Usher patrons,Current,WI118,50
CUAFOH301,Provide seating and ticketing services,Current,WI119,100
CUAFOH302,Monitor entry to venues,Current,WI120,50
CUAFOH501,Manage front of house services,Current,WI121,90
CUAGLA201,Develop glassworking skills,Current,AWJ05,40
CUAGLA301,Produce glasswork,Current,AWJ06,50
CUAGLA401,Experiment with techniques to produce glasswork,Current,AWJ04,60
CUAGLA501,Refine glassworking techniques,Current,AWJ03,70
CUAGLA502,Investigate glassworking materials and processes,Current,AWJ02,100
CUAGLA503,Refine kiln cast glass techniques,Current,AWJ01,60
CUAGMT301,Repair and maintain production equipment,Current,AWJ00,25
CUAGRD301,Prepare files for publication,Current,AWI99,50
CUAGRD302,Use typography techniques,Current,AWI97,60
CUAGRD401,Research and apply graphic design techniques,Current,AWI96,90
CUAGRD501,Research visual communication history and theory,Current,AWI98,50
CUAGRD502,Produce graphic designs for 2-D and 3-D applications,Current,AWI95,55
CUAGRD503,Produce typographic design solutions,Current,AWI94,55
CUAGRD504,Create and manipulate graphics,Current,AWI93,55
CUAGRD505,Design and manipulate complex layouts,Current,AWI92,60
CUAGRD506,Develop graphic design practice to meet industry needs,Current,AWI91,55
CUAGRD601,Engage in the business of graphic design,Current,AWI90,60
CUAGRD602,Originate graphic designs for complex briefs,Current,AWI85,60
CUAGRD603,Extend typographic design expertise,Current,AWI86,55
