National Code,Title,TGA Status,State Code,Nominal Hours
BSBCUE305,Process credit applications,Current,AUK30,40
BSBCUE306,Process complex accounts,Current,AUM28,40
BSBCUE307,Work effectively in customer engagement,Current,AUL33,35
BSBCUE308,Conduct outbound customer engagement,Current,AUK75,20
BSBCUE309,Develop product and service knowledge for customer engagement operation,Current,AUH51,30
BSBCUE403,Schedule customer engagement activity,Current,AUH12,20
BSBCUE404,"Collect, analyse and record information",Current,AUK82,40
BSBCUE405,Survey stakeholders to gather and record information,Current,AUH26,40
BSBCUE406,Run a multicentre,Current,AUL37,50
BSBCUE407,Administer customer engagement technology,Current,AUJ45,25
BSBCUE501,Develop business continuity strategy,Current,AUJ39,130
BSBCUE502,Establish a multicentre,Current,AUM19,40
BSBCUE503,Manage data interrogation,Current,AUJ40,35
BSBCUE504,Integrate customer engagement within the organisation,Current,AUH77,80
BSBCUE601,Optimise customer engagement operations,Current,AUM26,80
BSBCUE602,Manage customer engagement information,Current,AUL94,80
BSBCUE603,Design and launch new customer engagement facilities,Current,AUI95,80
BSBCUE604,Develop and maintain a service level strategy,Current,AUH62,80
BSBCUE605,Develop and maintain a customer engagement marketing strategy,Current,AUL06,80
BSBCUE606,Forecast and plan using customer engagement traffic information analysis,Current,AUM54,80
BSBCUE607,Manage customer engagement centre staffing,Current,AUI72,80
BSBCUE608,Manage customer engagement operational costs,Current,AUJ67,80
BSBCUS201,Deliver a service to customers,Current,AUK74,40
BSBCUS301,Deliver and monitor a service to customers,Current,AUM29,40
BSBCUS401,Coordinate implementation of customer service strategies,Current,AUK67,30
BSBCUS402,Address customer needs,Current,AUH55,30
BSBCUS403,Implement customer service standards,Current,AUL59,30
BSBCUS501,Manage quality customer service,Current,AUM47,50
BSBDES201,Follow a design process,Current,AUL88,40
BSBDES202,Evaluate the nature of design in a specific industry context,Current,AUJ72,30
BSBDES301,Explore the use of colour,Current,AUL40,40
BSBDES302,Explore and apply the creative design process to 2D forms,Current,AUJ90,50
BSBDES303,Explore and apply the creative design process to 3D forms,Current,AUI55,50
BSBDES304,Source and apply design industry knowledge,Current,AUJ59,20
BSBDES305,Source and apply information on the history and theory of design,Current,AUK43,65
BSBDES401,Generate design solutions,Current,AUJ94,60
BSBDES402,Interpret and respond to a design brief,Current,AUH07,20
BSBDES403,Develop and extend design skills and practice,Current,AUL36,30
BSBDES501,Implement design solutions,Current,AUK32,60
BSBDES502,"Establish, negotiate and refine a design brief",Current,AUM32,65
BSBDES601,Manage design realisation,Current,AUH06,50
BSBDES602,Research global design trends,Current,AUI31,30
BSBDES801,Research and apply design theory,Current,AUI51,40
BSBDIV301,Work effectively with diversity,Current,AUI02,20
BSBDIV501,Manage diversity in the workplace,Current,AUL28,20
BSBDIV601,Develop and implement diversity policy,Current,AUM31,40
BSBDIV801,Conduct strategic diversity workforce planning,Current,AUK87,70
BSBDIV802,Conduct strategic planning for diversity learning practices,Current,AUJ79,70
BSBDIV803,Develop cross cultural communication and negotiation strategies,Current,AUI97,80
BSBEBU401,Review and maintain a website,Current,AUL60,60
BSBEBU501,Investigate and design e-business solutions,Current,AUL65,50
BSBEBU502,Implement e-business solutions,Current,AUL05,20
BSBEDU301,Assist with monitoring compliance in international education services,Current,AUI08,50
BSBEDU302,Assist in resolution of issues and incidents in an international education environment,Current,AUL13,50
BSBEDU303,Assist with the provision of international education information,Current,AUI62,30
BSBEDU304,Assist with the provision of pastoral care services to international students,Current,AUJ01,30
BSBEDU305,Assist with international education events and programs,Current,AUK45,50
BSBEMS401,Develop and implement business development strategies to expand client base,Current,AUL66,40
BSBEMS402,Develop and implement strategies to source and assess candidates,Current,AUJ87,40
BSBEMS403,Develop and provide employment management services to candidates,Current,AUL87,40
BSBEMS404,Manage the recruitment process for client organisations,Current,Aug-98,50
BSBFIA301,Maintain financial records,Current,AUK66,60
BSBFIA302,Process payroll,Current,AUK24,30
BSBFIA303,Process accounts payable and receivable,Current,AUL92,40
BSBFIA304,Maintain a general ledger,Current,AUH82,40
BSBFIA401,Prepare financial reports,Current,AUK70,40
BSBFIA402,Report on financial activity,Current,AUH67,40
BSBFIA501,Report on finances related to international business,Current,AUK90,50
BSBFIM501,Manage budgets and financial plans,Current,AUH01,50
BSBFIM502,Manage payroll,Current,AUK52,50
BSBFIM601,Manage finances,Current,AUM25,80
BSBFIM801,Manage financial resources,Current,AUL78,80
BSBFLM303,Contribute to effective workplace relationships,Current,AUI32,30
BSBFLM305,Support operational plan,Current,AUL72,40
